Organization/Person Name,Organization/Person Name URL,Categories,Number of Funding Rounds,Last Funding Amount ($),Last Funding Type,Last Equity Funding Amount ($),Last Equity Funding Type,Total Equity Funding Amount ($),Total Funding Amount ($),Year
Stemcentrx,https://www.crunchbase.com/organization/stem-centrx,"Health Diagnostics, Therapeutics",4,250000000,Series G,250000000,Series G,515526990,515526990,2015
NGM Biopharmaceuticals,https://www.crunchbase.com/organization/ngm-biopharmaceuticals,"Biopharma, Genetics, Medical",5,105999996,Series E,105999996,Series E,295438996,295438996,2015
PaxVax,https://www.crunchbase.com/organization/paxvax,"Medical, Pharmaceutical",8,105000000,Private Equity,105000000,Private Equity,141000000,234606472,2015
AOptix Technologies,https://www.crunchbase.com/organization/aoptix-technologies,"Biometrics, Security, Telecommunications, Wireless",10,19977849,Series F,19977849,Series F,188722849,188722849,2015
Principia BioPharma,https://www.crunchbase.com/organization/principia-biopharma,"Biopharma, Life Science",4,15285151,Venture - Series Unknown,15285151,Venture - Series Unknown,89901817,89901817,2015
Afferent Pharmaceuticals,https://www.crunchbase.com/organization/afferent-pharmaceuticals,"Biopharma, Pharmaceutical",5,55000000,Series C,55000000,Series C,88000000,88150000,2015
Igenica,https://www.crunchbase.com/organization/igenica,"Life Science, Medical",7,1233334,Venture - Series Unknown,1233334,Venture - Series Unknown,80385178,80600918,2015
Personalis,https://www.crunchbase.com/organization/personalis,"Genetics, Health Care, Health Diagnostics",3,33000000,Series C,33000000,Series C,75000000,75000000,2015
ForSight Labs,https://www.crunchbase.com/organization/forsight-labs,"Health Care, Medical",11,1700700,Debt Financing,2999809,Venture - Series Unknown,67699810,69400510,2015
Flexus Biosciences,https://www.crunchbase.com/organization/flexus-biosciences,"Biopharma, Medical",3,15200000,Venture - Series Unknown,15200000,Venture - Series Unknown,66200000,66200000,2015
Vaxart,https://www.crunchbase.com/organization/vaxart,"Health Care, Medical Device",9,,Venture - Series Unknown,,Venture - Series Unknown,52668419,52668419,2015
Nurix,https://www.crunchbase.com/organization/nurix,"Health Care, Therapeutics",3,17000000,Series C,17000000,Series C,45200000,45200000,2015
Serenus Biotherapeutics,https://www.crunchbase.com/organization/serenus-biotherapeutics,"Health Care, Natural Resources",1,43000000,Venture - Series Unknown,43000000,Venture - Series Unknown,43000000,43000000,2015
Advanced Cell Diagnostics,https://www.crunchbase.com/organization/advanced-cell-diagnostics,"Health Diagnostics, Medical",4,22000000,Series C,22000000,Series C,39400000,40800000,2015
Solstice Biologics,https://www.crunchbase.com/organization/solstice-biologics,"Medical, Therapeutics",5,4000000,Series C,4000000,Series C,40000000,40000000,2015
goBalto,https://www.crunchbase.com/organization/gobalto,"Clinical Trials, SaaS, Software",5,12111998,Series C,12111998,Series C,37611998,37611998,2015
Icon Bioscience,https://www.crunchbase.com/organization/icon-bioscience,"Health Care, Pharmaceutical",3,5316245,Convertible Note,15000000,Series B,32000000,37316245,2015
Nora Therapeutics,https://www.crunchbase.com/organization/nora-therapeutics,"Health Care, Medical Device",6,,Seed,,Seed,36812000,36812000,2015
KineMed,https://www.crunchbase.com/organization/kinemed,"Health Care, Pharmaceutical",6,2149235,Venture - Series Unknown,2149235,Venture - Series Unknown,19847025,35886875,2015
Emerald Therapeutics,https://www.crunchbase.com/organization/emerald-therapeutics,"Medical, Therapeutics",3,20500000,Series C,20500000,Series C,34000000,34000000,2015
Zephyr Health,https://www.crunchbase.com/organization/zephyr-health,"Health Care, Life Science, Pharmaceutical",3,17477051,Series C,17477051,Series C,33477051,33477051,2015
Armetheon,https://www.crunchbase.com/organization/armetheon,"Biopharma, Pharmaceutical",2,24300000,Series B,24300000,Series B,31300000,31300000,2015
Neurona Therapeutics,https://www.crunchbase.com/organization/neuron-therapeutics,"Health Care, Therapeutics",2,23500000,Series A,23500000,Series A,31144339,31144339,2015
BioQ Pharma,https://www.crunchbase.com/organization/bioq-pharma,"Biopharma, Health Care, Pharmaceutical, Therapeutics",2,12210000,Venture - Series Unknown,12210000,Venture - Series Unknown,12210000,25947000,2015
Quantum Biosystems,https://www.crunchbase.com/organization/quantum-biosystems,"Health Care, Medical Device",2,20500000,Series B,20500000,Series B,24300000,24300000,2015
Lifecode,https://www.crunchbase.com/organization/lifecode,"Genetics, Health Care, Health Diagnostics, Medical Device, Therapeutics",2,20500000,Series A,20500000,Series A,20500000,20500000,2015
PipelineRx,https://www.crunchbase.com/organization/pipelinerx,"Health Care, Hospital",3,9100000,Venture - Series Unknown,9100000,Venture - Series Unknown,14615000,14615000,2015
Sanovas,https://www.crunchbase.com/organization/sanovas,Health Care,4,285699,Venture - Series Unknown,285699,Venture - Series Unknown,6734521,9165521,2015
Toma Biosciences,https://www.crunchbase.com/organization/toma-biosciences,Genetics,2,5088920,Venture - Series Unknown,5088920,Venture - Series Unknown,8686418,8686418,2015
Bell Biosystems,https://www.crunchbase.com/organization/bell-biosystems,"Clinical Trials, Therapeutics",3,3810250,Series A,3810250,Series A,7368480,7368480,2015
Microvi Biotechnologies,https://www.crunchbase.com/organization/microvi-biotechnologies,"GreenTech, Water",4,,Series B,,Series B,5000000,6500000,2015
LiveLeaf,https://www.crunchbase.com/organization/liveleaf,"Biopharma, Medical",2,2250000,Debt Financing,3850000,Venture - Series Unknown,3850000,6100000,2015
Genome Compiler,https://www.crunchbase.com/organization/genome-compiler,"CAD, Collaboration, Health Care, Software",2,5750000,Series A,5750000,Series A,5750000,5750000,2015
NuMedii,https://www.crunchbase.com/organization/numedii,"Medical, Therapeutics",2,2000000,Series A,2000000,Series A,5500000,5500000,2015
QuanDx,https://www.crunchbase.com/organization/quandx,"Health Care, Health Diagnostics",3,3000000,Venture - Series Unknown,3000000,Venture - Series Unknown,4250000,4250000,2015
Share Practice,https://www.crunchbase.com/organization/share-practice,"Health Care, Medical, Mobile",6,,Venture - Series Unknown,,Venture - Series Unknown,4125000,4125000,2015
DiCE Molecules,https://www.crunchbase.com/organization/dice-molecules,"Medical, Medical Device",1,3999990,Venture - Series Unknown,3999990,Venture - Series Unknown,3999990,3999990,2015
ISOThrive,https://www.crunchbase.com/organization/isothrive,"Animal Feed, Dietary Supplements, Nutrition, Personal Health, Wellness",2,2000000,Seed,2000000,Seed,3400000,3400000,2015
"AbboMax, Inc",https://www.crunchbase.com/organization/abbomax-inc-2,Customer Service,2,1500000,Private Equity,1500000,Private Equity,2500000,2500000,2015
Potbotics,https://www.crunchbase.com/organization/potbotics,"Artificial Intelligence, Medical",1,2355200,Debt Financing,,,,2355200,2015
20n,https://www.crunchbase.com/organization/20n,,2,2100000,Seed,2100000,Seed,2220000,2220000,2015
Theron Pharmaceuticals,https://www.crunchbase.com/organization/theron-pharmaceuticals,"Developer Platform, Therapeutics",4,409099,Venture - Series Unknown,409099,Venture - Series Unknown,2029319,2209319,2015
PicnicHealth,https://www.crunchbase.com/organization/picnichealth,"Artificial Intelligence, Big Data, Data Visualization, Health Care, Machine Learning, Medical, Pharmaceutical, SaaS, Software",2,2000000,Seed,2000000,Seed,2000000,2000000,2015
Adheron Therapeutics,https://www.crunchbase.com/organization/adheron-therapeutics,"Pharmaceutical, Therapeutics",1,1500000,Convertible Note,,,,1500000,2015
Ciel Medical,https://www.crunchbase.com/organization/ciel-medical,"Medical Device, Pharmaceutical",2,324999,Series A,324999,Series A,1057557,1057557,2015
Invenio Imaging,https://www.crunchbase.com/organization/invenio-imaging,Bioinformatics,1,1000004,Venture - Series Unknown,1000004,Venture - Series Unknown,1000004,1000004,2015
New Battery,https://www.crunchbase.com/organization/new-battery,,1,500000,Seed,500000,Seed,500000,500000,2015
Arcturus BioCloud,https://www.crunchbase.com/organization/arcturus-biocloud,"Genetics, Medical",4,100000,Convertible Note,100000,Seed,102000,227000,2015
iMicrobes,https://www.crunchbase.com/organization/industrial-microbes,Chemical,2,,Seed,,Seed,120000,120000,2015
The ODIN,https://www.crunchbase.com/organization/the-odin,,1,71036,Product Crowdfunding,,,,71036,2015
Pembient,https://www.crunchbase.com/organization/pembient,"3D Printing, GreenTech",1,50000,Seed,50000,Seed,50000,50000,2015
Extem,https://www.crunchbase.com/organization/extem,,2,,Venture - Series Unknown,,Venture - Series Unknown,50000,50000,2015
Sentieon,https://www.crunchbase.com/organization/sentieon,"Bioinformatics, Consumer",1,,Seed,,Seed,,,2015
SpacePharma,https://www.crunchbase.com/organization/spacepharma,,1,,Series A,,Series A,,,2015
zPREDICTA,https://www.crunchbase.com/organization/ixchel-scientific,"Artificial Intelligence, Clinical Trials, Health Care, Machine Learning",1,,Seed,,Seed,,,2015
NeuroSyntek,https://www.crunchbase.com/organization/neurosyntek,"Medical Device, Robotics",2,,Equity Crowdfunding,,Equity Crowdfunding,,,2015
Diagnostic BioSystems,https://www.crunchbase.com/organization/diagnostic-biosystems,,1,,Venture - Series Unknown,,Venture - Series Unknown,,,2015
Nuvelution Pharma,https://www.crunchbase.com/organization/nuvelution-pharma,"Life Science, Medical, Pharmaceutical",1,,Venture - Series Unknown,,Venture - Series Unknown,,,2015
